concept,label
pleasure,pleasure
preservation,preservation
purity,purity
regeneration,regeneration
spiritualRegeneration,spiritual regeneration
stAthanasius,St. Athanasius
stDemetrius,St. Demetrius
stDemetrius,St. Demetrius
stErasmus,St. Erasmus
stJamesTheGreater,St. James the Greater
stJohn,St. John
strength,strength
strength,strength
strength,strength
strength,Strength
strength,Strength
strength,Strength
superstition,superstition
theArchangelCassiel,the archangel Cassiel
theElect,the elect
theFixed,the fixed
theSouthernFaceOfMountMeru,the southern face of Mount Meru
theWind,the wind
truth,truth
truth,Truth
aLiberalBlessing,a liberal blessing
aTreasurer,a treasurer
bankers,bankers
charity,charity
charity,Charity
charity,Charity)
demeterCeres,Demeter/Ceres
aDeadPersonSSoul,a dead person’s soul
almoners,almoners
blood,blood
capriciousness,capriciousness
capriciousness,capriciousness
congealedBlood,congealed blood
contagiousHumorAndCommonSenseOvercomingAllObstacles,contagious humor and common sense overcoming all obstacles
cyrilOfJerusalem,Cyril of Jerusalem
finance,finance
funeralCondolence,funeral condolence
inByzantiumReservedForUseByTheImperialChamberlain,"in Byzantium, reserved for use by the imperial chamberlain"
manAsThePlaythingOfFateOrDeities,man as the plaything of fate or deities
matilda,Matilda
penury,penury
philanthropy,philanthropy
provident,provident
royalAndSacerdotalPower,royal and sacerdotal power
royalMajesty,royal majesty
sacerdotalPower,sacerdotal power
sometimesUsedInPlaceOfViolet,sometimes used in place of violet
temperanceInPlenty,temperance in plenty
theAntiHeroOvercomingLearningDomesticityDeathAndTheDevil,"the anti-hero overcoming learning, domesticity, death, and the devil"
theFirstEmotionsOfLove,the first emotions of love
theIndividualWithNoSenseOfPurpose,the individual with no sense of purpose
thePossessionsThatDeathTakesAway,the possessions that death takes away
thomasOfVillaneuva,Thomas of Villaneuva
underworldDivinities,underworld divinities
victoryInSports,victory in sports
wounded,wounded
abbots,abbots
aBishop,a bishop
abstinence,abstinence
abstinence,Abstinence
advent,Advent
anger,anger
aquilo,Aquilo
avarice,avarice
avarice,Avarice
bishops,bishops
charm,charm
christ,Christ
cinderella,Cinderella
dignity,dignity
dignity,dignity
euphemismForPhallus,euphemism for phallus
godTheFather,God the Father
hecate,Hecate
hermesMercury,Hermes/Mercury
humility,humility
humility,Humility
imperialPower,imperial power
intelligence,intelligence
judas,Judas
jupiter,Jupiter
justice,justice
justice,justice
justice,Justice
justice,Justice
kappaLambdaPsi,Kappa Lambda Psi
knowledge,knowledge
lawrence,Lawrence
love,love
majesty,majesty
majesty,majesty
melancholy,melancholy
melancholy,Melancholy
merchants,merchants
mercuryPlanet,Mercury (planet)
mourning,mourning
mourning,mourning
nobleBirth,noble birth
penitence,penitence
penitence,penitence
pomp,pomp
power,power
power,Power
priapus,Priapus
pride,pride
pride,Pride
rank,rank
resolution,resolution
rule,rule
sagittarius,Sagittarius
scrotum,scrotum
secrecy,secrecy
severity,severity
sorrow,sorrow
sorrow,sorrow
spirituality,spirituality
stupidity,stupidity
stupidity,stupidity
stupidity,Stupidity
stupidity,Stupidity
courage,courage
creativity,creativity
creativity,creativity
death,death
death,death
death,death
death,death
death,Death
death,Death
death,Death
death,Death
divinity,divinity
divinity,divinity
east,east
east,east
east,East
east,East
fertility,fertility
fertility,fertility
glory,glory
happiness,happiness
hell,hell
honor,honor
hope,hope
hope,Hope
imperialPower,imperial power
industry,industry
intelligence,intelligence
invisibility,invisibility
john,John
loyalty,loyalty
magnanimity,magnanimity
marsPlanet,Mars (planet)
meditation,meditation
misfortune,misfortune
neith,Neith
nobility,nobility
Oro,‘Oro
patriotism,patriotism
power,power
power,Power
priapus,Priapus
rebellion,rebellion
revolution,revolution
rule,rule
severity,severity
sin,sin
solarPower,solar power
stThomasBecket,St. Thomas Becket
sublimation,sublimation
success,success
summer,summer
summer,Summer
supernaturalPower,supernatural power
theArchangelSamael,the archangel Samael
theDawn,the dawn
theDevil,the devil
theDevil,the Devil
theEarth,the earth
theEarth,the Earth
theHolySpirit,the Holy Spirit
theLowerKingdomOfEgypt,the Lower Kingdom of Egypt
theMasculinePrinciple,the masculine principle
theSoul,the soul
theUnderworld,the underworld
theUnderworld,the Underworld
theUnionOfFireAndWater,the union of fire and water
theUnionOfOpposites,the union of opposites
triumph,triumph
victory,victory
victory,Victory
violence,violence
vishnu,Vishnu
war,war
warGods,war gods
wickedness,wickedness
wornOnThe61StBirthday,worn on the 61st birthday
gold,gold
gold,Gold
mars,Mars
pollux,Pollux
sacredness,sacredness
sparta,Sparta
stMaurice,St. Maurice
happiness,happiness
happiness,happiness
joy,joy
joy,joy
life,life
life,life
life,life
love,love
love,love
lucky,lucky
lucky,lucky
lucky,lucky
martyrdom,martyrdom
martyrdom,martyrdom
passion,passion
passion,passion
mithras,Mithras
mysticCenter,mystic center
paradise,paradise
paradise,Paradise
perfection,perfection
plenty,plenty
power,power
power,power
power,Power
power,Power
pureSpirit,pure spirit
sacredToApollo,sacred to Apollo
solarGods,solar gods
strength,strength
strength,Strength
thanksgiving,thanksgiving
thanksgiving,Thanksgiving
theAir,the air
theEyeOfZeusJupiter,the eye of Zeus/Jupiter
theHead,the head
theophany,theophany
theSpiritual,the spiritual
theSun,the sun
theSun,the Sun
theUniversalSpirit,the universal spirit
theUniversalSpirit,the Universal Spirit
unity,unity
virgo,Virgo
youth,youth
youth,Youth
zerachiel,Zerachiel
fountainOfLife,fountain of life
loki,Loki
moloch,Moloch
communication,communication
disputation,disputation
dramaticTragedy,dramatic tragedy
drinkOfImmortality,drink of immortality
duality,duality
fear,fear
gemini,Gemini
hope,hope
hope,hope
hope,hope
hope,Hope
hope,Hope
hope,Hope
initiation,initiation
innerWisdom,inner wisdom
intuition,intuition
iraq,Iraq
lucky,lucky
lyreplaying,lyreplaying
mediation,mediation
movement,movement
nabu,Nabu
north,North
peace,peace
peace,peace
peace,peace
peace,Peace
peace,Peace
peace,Peace
pride,pride
pride,Pride
purple,purple
purple,Purple
reason,reason
rebirth,rebirth
rebirth,rebirth
righteousness,righteousness
sickness,sickness
sickness,Sickness
spring,spring
spring,spring
spring,Spring
spring,Spring
suffering,suffering
theConnectionBetweenHeavenAndEarth,the connection between heaven and earth
theHolySpirit,the Holy Spirit
theNigredo,the nigredo
thePalestinianNationalAuthority,the Palestinian National Authority
thePrimaMateria,the prima materia
theStomach,the stomach
treeOfLife,Tree of Life
tripura,Tripura
unlucky,unlucky
victory,victory
victory,victory
victory,Victory
victory,Victory
wit,wit
worldAxis,World Axis
yemJa,Yemọja
youth,youth
youth,youth
youth,Youth
youth,Youth
zechariah,Zechariah
mizoram,Mizoram
sriLanka,Sri Lanka
toil,toil
toil,Toil
uprightness,uprightness
aChristianSHasteToObtainDivineGifts,a Christian’s haste to obtain divine gifts
anAuspiciousOmen,an auspicious omen
astralProjection,astral projection
aSupernaturalCreature,a supernatural creature
blindnessInConjunctionWithCunningOrAristocracy,blindness in conjunction with cunning or aristocracy
bridgeBetweenHeavenAndEarth,bridge between heaven and earth
bridgeBetweenHeavenAndEarth,bridge between heaven and earth
chandras,Chandras
boils,boils
cramps,cramps
davidEspeciallyWithALion,David (especially with a lion)
diligentService,diligent service
elementalExistence,elemental existence
generallyAMaleFigureButMayBeAWomanOfLooseMorals,"generally a male figure, but may be a woman of loose morals"
guardianOfTheNorthLungsOfTheDead,"guardian of the North, lungs of the dead"
guardianOfWildAnimals,guardian of wild animals
humanStress,human stress
huntingSkill,hunting skill
instrumentOfAHarlot,instrument of a harlot
inventorOfWriting,inventor of writing
longingForLoveOrDeath,longing for love or death
loveOfLearning,love of learning
lunarAndHunterDeities,lunar and hunter deities
moondweller,moondweller
moonDweller,moon-dweller
oneWhoEnjoysAPeacefulRetiredLife,"one who enjoys a peaceful, retired life"
opening,opening
periodicity,periodicity
personificationOfLight,personification of Light
protectionFromWitches,protection from witches
yama,Yama
guide,guide
hermits,hermits
ixchel,Ixchel
moloch,Moloch
thePowersOfDarkness,the powers of darkness
theSynagogue,the synagogue
theSynagogue,the Synagogue
aLoudColor,a loud color
anAdulterer,an adulterer
andTheater,and theater
armor,armor
britishSoldiers,British soldiers
building,building
containsThePowerOfAPerson,contains the power of a person
eternalRenewal,eternal renewal
fantasticExtravagance,fantastic extravagance
fire,fire
frenchKings,French kings
generalVirtueAndMerit,general virtue and merit
generativePowerOfLife,generative power of life
huntsmen,huntsmen
joys,joys
jurisprudence,jurisprudence
makingAChildSoUglyOrUnrecognizableThatThePossessingAbikuWouldLeaveHim,making a child so ugly or unrecognizable that the possessing abiku would leave him
modestyPersonified,Modesty personified
moralOrCosmicInferiority,moral or cosmic inferiority
muslimCountries,Muslim countries
mutualLove,mutual love
phiKappaSecondary,Phi Kappa (secondary)
powerfulEmotions,powerful emotions
priestessesOfGreatMotherCults,priestesses of Great Mother cults
principalities,Principalities
prostitute,prostitute
romanConsuls,Roman consuls
signifyingTemperance,signifying Temperance
spiritualDefense,spiritual defense
steadyDrinking,steady drinking
stLouisOfToulouseOftenAlsoWithCrown,St. Louis of Toulouse (often also with crown)
stSimonStock,St. Simon Stock
sunbeamingEyes,sunbeaming eyes
theCreationAndRevivalOfLife,the creation and revival of life
theFilthOfTheEarth,the filth of the earth
theInferiorContinuingInTheSuperior,the inferior continuing in the superior
theLadybug,the ladybug
theMockingOfChrist,the mocking of Christ
theMockRoyalRobeGivenToChrist,the mock royal robe given to Christ
thePastContinuingInThePresent,the past continuing in the present
thePathOfTheSun,the path of the sun
theShriners,the Shriners
theYokeOfChrist,the yoke of Christ
triumphantGenerals,triumphant generals
waterAndTheUnderworld,water and the underworld
womanOfLooseMorals,woman of loose morals
aCardinal,a cardinal
androgyny,androgyny
aphrodite,Aphrodite
athenaMinerva,Athena/Minerva
christAsKing,Christ as king
discernment,discernment
divineLight,divine light
divineWisdom,divine wisdom
dynamism,dynamism
eaOannes,Ea-Oannes
energy,energy
englishKings,English kings
eternity,eternity
fertility,fertility
fervor,fervor
hanging,hanging
immortality,immortality
immortality,immortality
josephSAdvancement,Joseph’s advancement
khepri,Khepri
khepri,Khepri
life,life
maat,Maat
martialSuccess,martial success
materialLife,material life
melpomene,Melpomene
messianicHope,messianic hope
nemesis,Nemesis
night,night
night,Night
protection,protection
ptah,Ptah
reincarnation,reincarnation
resurrection,resurrection
resurrection,resurrection
royalty,royalty
selfCreation,self-creation
sexualFunction,sexual function
sin,sin
solomon,Solomon
stLydia,St. Lydia
stMatthias,St. Matthias
sunRays,sun rays
temporalPower,temporal power
theMiddleEast,the Middle East
theMoon,the moon
wisdom,wisdom
wisdom,Wisdom
unity,unity
vagina,vagina
victory,victory
victory,Victory
witchcraft,witchcraft
zeusJupiter,Zeus/Jupiter
nightBirds,night birds
revelry,revelry
vivacity,vivacity
aCelestialGuardian,a celestial guardian
aLowTrade,a low trade
anImageOfTheSacredMountainAsAWorldAxis,an image of the Sacred Mountain as a World Axis
aSignOfACruelHusband,a sign of a cruel husband
christSOvercomingEvil,Christ’s overcoming evil
alphaDeltaNational,Alpha Delta (national)
atman,Atman
deathOfTheOldYear,death of the old year
divineInstruction,divine instruction
elementalLife,elemental life
eternalLifeSecretThePowerOfTheSupernatural,eternal life secret the power of the supernatural
fire,fire
fortunatus,Fortunatus
heraclesHercules,Heracles/Hercules
hornsDownTheUpperWatersTheRainbow,"horns down the Upper Waters, the rainbow"
lifeAsAnInfirmity,life as an infirmity
maternalFertility,maternal fertility
occasionallyDemeterCeres,occasionally Demeter/Ceres
oyandoneTheEastWind,"Oyandone, the East Wind"
primevalFood,primeval food
purityUnityDivinity,"purity, unity, divinity"
questForLifeImmortalityEnlightenmentParadiseTheHolyGrail,"quest for life, immortality, enlightenment, Paradise, the Holy Grail"
renewedHopesForRebirth,renewed hopes for rebirth
satanTemptingChrist,Satan tempting Christ
searchForRedemptionTheSpiritualCenterParadiseSalvation,"search for redemption, the spiritual Center, Paradise, salvation"
stCyril,St. Cyril
stilledEmotions,stilled emotions
supremeDeityOrTheEarthlyRepresentativeThereof,supreme deity or the earthly representative thereof
theAttemptedPoisoningOfStJohn,the attempted poisoning of St. John
theDifferentWorlds,the different worlds
theMaleFemaleRelationship,the male-female relationship
theOmnipresenceOfSin,the omnipresence of sin
thePersonificationsOfSummer,the personifications of Summer
thePurestPartOfAnIndividualOrOfOneSBeing,the purest part of an individual or of one’s being
theSearchForSpiritualEvolution,the search for spiritual evolution
theSpreadOfSin,the spread of sin
unionOfTheMaleAndTheFemale,union of the male and the female
weaponOfPeasants,weapon of peasants
actaeon,Actaeon
actaeon,Actaeon
adonis,Adonis
aiApaecEspeciallyWithLizardAndDog,Ai apaec (especially with lizard and dog)
boldness,boldness
california,California
chalchiutlicue,Chalchiutlicue
charm,charm
chastity,chastity
chastity,Chastity
christ,Christ
chronos,Chronos
cronus,Cronus
dauntlessness,dauntlessness
dauntlessnessAtSea,dauntlessness at sea
death,death
death,Death
desire,desire
evanescence,evanescence
evanescence,evanescence
fatherTime,Father Time
fecundation,fecundation
gossip,gossip
hopeOfAFruitfulHarvest,hope of a fruitful harvest
instrumentOfCastration,instrument of castration
inversion,inversion
johnTheBaptist,John the Baptist
latentPossibilities,latent possibilities
mortality,mortality
protection,protection
regeneration,regeneration
repetition,repetition
repression,repression
saturnMythology,Saturn (mythology)
secrecy,secrecy
selfMutilation,self-mutilation
southAfrica,South Africa
sperm,sperm
stability,stability
stGregoryTheGreat,St. Gregory the Great
stPeter,St. Peter
stPhilip,St. Philip
sudan,Sudan
sympathy,sympathy
temperancePersonified,Temperance personified
theApocalypse,the Apocalypse
theCenterOfBeing,the center of being
theDevil,the devil
theDevil,the Devil
theDivineSpirit,the divine spirit
theDivineSpirit,the Divine Spirit
theEternal,the eternal
theFemininePrinciple,the feminine principle
youth,youth
youth,youth
youth,Youth
youth,Youth
shyness,shyness
aKing,a king
anInhabitantOfTheWesternContinent,an inhabitant of the Western Continent
carefulness,carefulness
charity,charity
charity,Charity
charity,Charity)
charmToWardOffEvilThoughtBanishSorrowRestrainLustResistPoisonPreventPlagueStanchBleeding,"charm to ward off evil thought, banish sorrow, restrain lust, resist poison, prevent plague, stanch bleeding"
beauty,beauty
conjunctionOfOppositesPleasurePain,conjunction of opposites (pleasure/pain)
connectedWithSolarWorship,connected with solar worship
light,light
light,Light
moralRectitude,moral rectitude
optimisticOrUnrealisticView,optimistic or unrealistic view
presageOfMischiefEvil,"presage of mischief, evil"
remembranceInPrayer,remembrance in prayer
romanEmperors,Roman emperors
saidToEnhanceInnerAndOuterBeauty,said to enhance inner and outer beauty
stoneFor15Th40Th80ThWeddingAnniversaries,"stone for 15th, 40th, 80th wedding anniversaries"
theDangerIsOver,the danger is over
theInfiniteButHarmoniousDiversitiesOfNature,the infinite but harmonious diversities of nature
theRealmOfMan,the realm of man
thereIsEverything,there is everything
theSkySun,"the sky, sun"
alphaIota,Alpha Iota
androgyny,androgyny
aphrodite,Aphrodite
authority,authority
birthstoneForDecember,birthstone for December
cancer,Cancer
capricorn,Capricorn
chance,chance
chance,Chance
charm,charm
charm,charm
charm,charm
charm,charm
charm,charm
control,control
danger,danger
destruction,destruction
dignity,dignity
dignity,dignity
divinePower,divine power
divineWill,divine will
divineZeal,divine zeal
elegance,elegance
eos,Eos
eternity,eternity
fate,fate
fate,Fate
fertility,fertility
fertility,fertility
foresight,foresight
government,government
happiness,happiness
healing,healing
humanLove,human love
inanna,Inanna
invulnerability,invulnerability
leo,Leo
libra,Libra
longevity,longevity
lucky,lucky
majesty,majesty
marsPlanet,Mars (planet)
michael,Michael
money,money
mysticCenter,mystic center
passion,passion
raiden,Raiden
rashness,rashness
rewardOfVirtue,reward of virtue
royalty,royalty
sacredFood,sacred food
samael,Samael
spiritualProtection,spiritual protection
stFrancisOfAssisi,St. Francis of Assisi
stThereseOfLisieux,St. Therese of Lisieux
taurus,Taurus
taurus,Taurus
theArchangelAnael,the archangel Anael
theArchangelsAzrael,the archangels Azrael
theCosmos,the cosmos
theCreator,the creator
theCreator,the Creator
theDeathOfChrist,the death of Christ
theEarth,the earth
theEarth,the Earth
theFeminine,the feminine
theHeart,the heart
theHeavens,the heavens
theHeavens,the heavens
theMoon,the moon
theMoon,the Moon
aBhutCastsNoShadow,a bhut casts no shadow
aBishopAbbotOrAbbess,"a bishop, abbot, or abbess"
aDiminishedLifeOfSilence,a diminished life of silence
aGhost,a ghost
amynos,Amynos
aProtector,a protector
aReminderOfBurntOfferingsAndOfTheAncientGloryOfTheTemple,a reminder of burnt offerings and of the ancient glory of the Temple
capturingHisStrengthPowers,"capturing his strength, powers"
charity,charity
charity,Charity
charity,Charity)
abodeOfTheDead,abode of the dead
aDepartedSoul,a departed soul
alphaGammaRho,Alpha Gamma Rho
americaPersonifiedBothContinents,America personified (both continents)
aralu,Aralu
concordPersonified,Concord personified
connectedWithParchment,connected with parchment
cosmicEnergy,cosmic energy
diploma,diploma
existenceBetweenTheSoulAndTheBody,existence between the soul and the body
fire,fire
garbOfGhosts,garb of ghosts
ghostsHaveNoShadows,ghosts have no shadows
godSBounty,God’s bounty
godSPresence,God’s presence
guardianOfAncientWisdom,guardian of ancient wisdom
halfTruth,half-truth
josephSDream,Joseph’s dream
judith,Judith
juliusCaesar,Julius Caesar
magos,Magos
manliusTorquatus,Manlius Torquatus
oldTestamentFeastOfThePentecost,Old Testament Feast of the Pentecost
perseusWithMedusaSHead,Perseus with Medusa’s head
preparationForReceptionOfNewThoughtsEmotionsOrIdeas,"preparation for reception of new thoughts, emotions, or ideas"
preservationPersonified,Preservation personified
reductionOfTheManyIntoOne,reduction of the many into one
riddingOneselfOfOldThoughtsEmotionsIdeas,"ridding oneself of old thoughts, emotions, ideas"
sail,sail
sharedAndUnitedLife,shared and united life
theBaseAndTheVile,the base and the vile
theDivineMother,the Divine Mother
theEvilOrBaseSideOfTheSelf,the evil or base side of the self
theFemaleElementInAllBeing,the female element in all being
theIncompletelyRevealed,the incompletely revealed
theKingIsOttoIii,the king is Otto III
theNegativePrinciple,the negative principle
thePrimitiveSideOfAnIndividual,the primitive side of an individual
theSacrificialLamb,the sacrificial lamb
theSevenArchangels,the seven archangels
theSevenVirtuesFaithHopeCharityTemperancePrudenceFortitudeJusticeTheseMayBeIdentifiedByTheirAttributesGlobeSerpentScales,"the seven virtues (faith, hope, charity, temperance, prudence, fortitude, justice— these may be identified by their attributes— globe, serpent, scales)"
tomyris,Tomyris
tomyrisWithTheHeadOfCyrus,Tomyris with the head of Cyrus
abundance,abundance
abundance,Abundance
agriculture,agriculture
astronomyPersonified,Astronomy personified
aThunderbolt,a thunderbolt
aThunderbolt,a thunderbolt
baptism,baptism
cancer,Cancer
ease,ease
eternalYouth,eternal youth
farmhouse,FarmHouse
gloom,gloom
heat,heat
hermesMercury,Hermes/Mercury
hosea,Hosea
innocence,innocence
innocence,Innocence
integration,integration
johnTheBaptist,John the Baptist
johnTheBaptist,John the Baptist
love,love
manifestation,manifestation
navigation,navigation
obscurity,obscurity
passion,passion
protection,protection
retreatFromTheWorld,retreat from the world
righteousness,righteousness
separationFromGod,separation from God
stBrendan,St. Brendan
stJoseph,St. Joseph
stPaul,St. Paul
stPhilip,St. Philip
stStephen,St. Stephen
temptation,temptation
theAlterEgo,the alter ego
theFallOfJericho,the fall of Jericho
theGoodShepherd,the Good Shepherd
theInstincts,the instincts
theIronAge,the Iron Age
thePassionOfChrist,the Passion of Christ
thePast,the past
theRepressed,the repressed
theSilverAgePersonified,the Silver Age personified
theSoul,the soul
theUnconscious,the unconscious
hope,Hope
hope,Hope
immortality,immortality
indonesia,Indonesia
jealousy,jealousy
joy,joy
joy,joy
jupiterPlanet,Jupiter (planet)
knightlyService,knightly service
life,life
love,love
marriage,marriage
maryMagdalene,Mary Magdalene
misfortune,misfortune
nobility,nobility
nobility,nobility
patience,patience
patience,Patience
penitencePersonified,Penitence personified
persia,Persia
power,power
power,Power
purity,purity
rain,rain
righteousness,righteousness
samson,Samson
scorpio,Scorpio
selfConfidence,self confidence
selfConfidence,self-confidence
strength,strength
strength,Strength
tezcatlipoca,Tezcatlipoca
theArchangelMichael,the archangel Michael
theEmperor,the emperor
theEmperor,the Emperor
theLastJudgment,the Last Judgment
theNewYear,the new year
theNewYear,the New Year
thePhilippines,the Philippines
theSeaPersonified,the sea (Personified)
theSeaPersonified,the Sea personified
theVirginMary,the Virgin Mary
tlaloc,Tlaloc
venusPlanet,Venus (planet)
warriors,warriors
womanSLove,woman’s love
zephaniah,Zephaniah
ebisu,Ebisu
ebisu,ebisu
fascination,fascination
fascination,fascination
fascination,fascination
secondSight,second sight
secondSight,second-sight
theFiveWoundsOfChrist,the five wounds of Christ
allHolyTrinities,all holy trinities
anAppealToHeaven,an appeal to heaven
anEducatedPerson,an educated person
cleopatraSBarge,Cleopatra’s barge
andBeauty,and beauty
connectionInGeneral,connection in general
daysOfDeathOfTheInitiateOrHarvestGodBeforeRebirth,days of death of the initiate or harvest god before rebirth
doubt,doubt
dynamicSupportOfTheBody,dynamic support of the body
earlyAttachment,early attachment
francisOfAssisiOvercameSexualTensionByThrowingThemselvesOnOne,Francis of Assisi overcame sexual tension by throwing themselves on one
herVictoryOverSin,her victory over sin
holySacrificialSpot,"holy, sacrificial spot"
imperialAndSpiritualPower,imperial and spiritual power
increasingProsperity,increasing prosperity
justiceAndTruthOfChrist,justice and truth of Christ
oath,oath
pawnbrokers,pawnbrokers
roughnessOfCharacter,roughness of character
sexualVigor,sexual vigor
stEdmund,St. Edmund
stHilda,St. Hilda
stIldefonso,St. Ildefonso
sulfurAndMercuriusAndAndSalt,sulfur and Mercurius and and salt
theBetrayalOfChristByJudas,the betrayal of Christ by Judas
theConnectionBetweenPlanesSpiritualBiologicalSocial,"the connection between planes (spiritual, biological, social)"
theDarkOfTheMoon,the dark of the moon
theEqualityOfTheTrinity,the equality of the Trinity
theMikado,the Mikado
theThreeJewels,the Three Jewels
transportToHeaven,transport to heaven
versification,versification
vinayaDisciplineDhammaOrSutaDiscourseAbhidammaExposition,Vinaya (discipline)/Dhamma or Suta (discourse)/Abhidamma (exposition)
anahita,Anahita
ascension,ascension
ascension,Ascension
binding,binding
communism,communism
continuity,continuity
coquetry,coquetry
crudity,crudity
cruelty,cruelty
destiny,destiny
egypt,Egypt
epiphany,Epiphany
striving,striving
theDrivingForce,the driving force
thePrimeOfLife,the prime of life
theSacrificeNecessaryInCreation,the sacrifice necessary in creation
theThirdChakraAdrenals,the third chakra (adrenals)
theVaryingCourseOfLife,the varying course of life
thingsMartial,things martial
tigers,tigers
unionOfSulfurAndMercuriusSunAndMoonGoldAndSilver,"union of sulfur and Mercurius, sun and moon, gold and silver"
unionOfTheConsciousAndUnconscious,union of the conscious and unconscious
unionOfTheDiscrete,union of the discrete
unionOfTheSoulWithChrist,union of the soul with Christ
xotl,Xotl
3,-3
3,-3-
3,3
activity,activity
aggression,aggression
aries,Aries
aspiration,aspiration
baseness,baseness
beneficence,beneficence
bloodstones,bloodstones
changeableness,changeableness
courage,courage
david,David
dionysusBacchus,Dionysus/Bacchus
domesticHappiness,domestic happiness
dupe,dupe
ekchuah,Ekchuah
ekchuah,Ekchuah
endurance,endurance
energy,energy
enthusiasm,enthusiasm
extinction,extinction
genitals,genitals
healing,healing
idolatryPersonified,Idolatry personified
innocence,innocence
innocence,Innocence
iron,iron
judas,Judas
kurma,Kurma
mauritius,Mauritius
meanness,meanness
melpomene,Melpomene
min,Min
movement,movement
nergal,Nergal
patience,patience
patience,patience
patience,Patience
patience,Patience
power,power
power,power
power,Power
power,Power
priapus,Priapus
red,red
samson,Samson
stAnthonyTheGreat,St. Anthony the Great
stupidity,stupidity
stupidity,Stupidity
sun,sun
sun,sun
sun,Sun
sun,Sun
thalia,Thalia
theDevil,the devil
theDevil,the devil
theDevil,the devil
theDevil,the devil
theDevil,the devil
theDevil,the Devil
theDevil,the Devil
theDevil,the Devil
theDevil,the Devil
theDevil,the Devil
theSun,the sun
theSun,the Sun
tragedy,tragedy
unionOfTheMasculineAndFemininePrinciples,union of the masculine and feminine principles
wolves,wolves
yama,Yama
aDemon,a demon
aDemon,a demon
aDemon,a demon
aDemon,a demon
kingAndQueen,king and queen
passions,passions
aLoveFetish,a love fetish
blessingOfHeaven,blessing of heaven
latch,latch
appetite,appetite
bigotry,bigotry
congratulations,congratulations
contemplativeEcstasy,contemplative ecstasy
devouringHeat,devouring heat
disrespectForElders,disrespect for elders
euphemismForOrgasm,euphemism for orgasm
stJerome,St. Jerome
stJohn,St. John
stupidity,stupidity
stupidity,Stupidity
theAbyss,the abyss
theAbyss,the Abyss
theCollectiveUnconscious,the collective unconscious
theFather,the father
theFemininePrinciple,the feminine principle
theGreatMother,the great Mother
theGreatMother,the Great Mother
theGrimReaper,the Grim Reaper
theMother,the mother
theMother,the Mother
theOcean,the ocean
thePersonificationOfDeath,the personification of Death
theSourceOfLife,the source of life
theTao,the Tao
theWaningMoon,the waning moon
tiamat,Tiamat
time,time
tradition,tradition
tyranny,tyranny
universalLife,universal life
versatility,versatility
wisdom,wisdom
wisdom,Wisdom
woman,woman
worldNavel,World Navel
adventure,adventure
insight,insight
oneSHigherSelf,one’s higher self
theSettingSun,the setting sun
theSettingSun,the setting sun
aDevilSHelperInHell,a devil’s helper in hell
apostasy,apostasy
blindAnimalLifeForce,blind animal life force
brittleness,brittleness
Death,death
decency,decency
denialOfPaganism,denial of paganism
failureToHeedAParentSAdvice,failure to heed a parent’s advice
fixedIdeasWhichBarTheWayToTruth,fixed ideas which bar the way to truth
imageWithoutSubstance,image without substance
innocenceRegained,innocence regained
intellectRebellingAgainstTheSpirit,intellect rebelling against the spirit
latentTruth,latent truth
mammonWorship,Mammon worship
manSQuestingIntellectualSpirit,man’s questing intellectual spirit
multifariousEvil,multifarious evil
outwardObservancesRegardedAsTrueSpiritualExercise,outward observances regarded as true spiritual exercise
paganismOvercome,paganism overcome
punishmentThroughSocialHumiliation,punishment through social humiliation
rebirthIntoTheWorldOfPhenomena,rebirth into the world of phenomena
rejectedAddresses,rejected addresses
reminderOfTheTimeInTheWilderness,reminder of the time in the wilderness
resistanceToTheInferior,resistance to the inferior
revitalization,revitalization
smoothness,smoothness
solomonSApostasy,Solomon’s apostasy
sordidVices,sordid vices
spiritualHarmony,spiritual harmony
stoneFor23RdAnd50ThWeddingAnniversaries,stone for 23rd and 50th wedding anniversaries
stultificationOfPotentialities,stultification of potentialities
temporaryShelter,temporary shelter
theDangerOfGoingToExtremes,the danger of going to extremes
theHeathenWorld,the heathen world
theIntellectInTheMerelyTechnicalAndNonSpiritualSense,the intellect in the merely technical and non-spiritual sense
theIntellectTryingToEscapeTheWorld,the intellect trying to escape the world
theProlificNatureOfHeresySinFalseDoctrine,"the prolific nature of heresy, sin, false doctrine"
theReturnToThePrimordialWatersOfLifeAndPristineInnocence,the return to the primordial waters of life and pristine innocence
theRigidDividingLineBetweenTheConsciousAndUnconsciousOrAnyOtherDynamicLevels,"the rigid dividing line between the conscious and unconscious, or any other dynamic levels"
theWholeCatalogOfVices,the whole catalog of vices
victoryOverAVeryPowerfulEnemy,victory over a very powerful enemy
aspiration,aspiration
baptism,baptism
baptism,baptism
cancer,Cancer
chastity,chastity
chastity,Chastity
cleanliness,cleanliness
cyprus,Cyprus
death,death
death,Death
destruction,destruction
disorder,disorder
dwellingOfBabaYaga,dwelling of Baba Yaga
dwellingOfBabaYaga,dwelling of Baba Yaga
dwellingOfBabaYaga,dwelling of Baba Yaga
dwellingOfBabaYaga,dwelling of Baba Yaga
feminineChastity,feminine chastity
fertility,fertility
freshness,freshness
greece,Greece
health,health
health,Health
humility,humility
humility,Humility
impermanence,impermanence
indonesia,Indonesia
maternity,maternity
micah,Micah
mind,mind
muslims,Muslims
newfoundlandAndLabrador,Newfoundland and Labrador
